       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          490           -150           -100     0.00395927     0.00348843   -0.000952261              0              0              0
          495           -150           -100     0.00386152     0.00340671   -0.000924624              0              0              0
          500           -150           -100      0.0037653     0.00332679   -0.000897843              0              0              0
         -500           -145           -100    -0.00368423     0.00348392   -0.000878362              0              0              0
         -495           -145           -100    -0.00377859     0.00356798   -0.000904612              0              0              0
         -490           -145           -100    -0.00387445     0.00365396   -0.000931704              0              0              0
         -485           -145           -100    -0.00397183     0.00374188   -0.000959662              0              0              0
         -480           -145           -100    -0.00407071     0.00383176   -0.000988511              0              0              0
         -475           -145           -100    -0.00417111     0.00392361    -0.00101828              0              0              0
         -470           -145           -100    -0.00427303     0.00401744    -0.00104899              0              0              0
         -465           -145           -100    -0.00437645     0.00411327    -0.00108067              0              0              0
         -460           -145           -100     -0.0044814     0.00421112    -0.00111337              0              0              0
         -455           -145           -100    -0.00458795     0.00431113    -0.00114717              0              0              0


#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 629 MB
#
